# time  created  delivered  delivered/created
32.0000 1 0 0.0000
58.0000 2 0 0.0000
84.0000 3 0 0.0000
112.0000 4 0 0.0000
144.0000 5 0 0.0000
170.0000 6 0 0.0000
203.0000 7 0 0.0000
233.0000 8 0 0.0000
265.0000 9 0 0.0000
291.0000 10 0 0.0000
320.0000 11 0 0.0000
345.0000 12 0 0.0000
379.0000 13 0 0.0000
405.0000 14 0 0.0000
431.0000 15 0 0.0000
464.0000 16 0 0.0000
498.0000 17 0 0.0000
523.0000 18 0 0.0000
557.0000 19 0 0.0000
582.0000 20 0 0.0000
609.0000 21 0 0.0000
640.0000 22 0 0.0000
669.0000 23 0 0.0000
698.0000 24 0 0.0000
730.0000 25 0 0.0000
757.0000 26 0 0.0000
785.0000 27 0 0.0000
818.0000 28 0 0.0000
852.0000 29 0 0.0000
881.0000 30 0 0.0000
913.0000 31 0 0.0000
945.0000 32 0 0.0000
976.0000 33 0 0.0000
1007.0000 34 0 0.0000
1035.0000 35 0 0.0000
1060.0000 36 0 0.0000
1092.0000 37 0 0.0000
1121.0000 38 0 0.0000
1154.0000 39 0 0.0000
1184.0000 40 0 0.0000
1216.0000 41 0 0.0000
1249.0000 42 0 0.0000
1281.0000 43 0 0.0000
1313.0000 44 0 0.0000
1345.0000 45 0 0.0000
1378.0000 46 0 0.0000
1411.0000 47 0 0.0000
1437.0000 48 0 0.0000
1465.0000 49 0 0.0000
1498.0000 50 0 0.0000
1528.0000 51 0 0.0000
1560.0000 52 0 0.0000
1586.0000 53 0 0.0000
1617.0000 54 0 0.0000
1646.0000 55 0 0.0000
1677.0000 56 0 0.0000
1707.0000 57 0 0.0000
1739.0000 58 0 0.0000
1769.0000 59 0 0.0000
1803.0000 60 0 0.0000
1828.0000 61 0 0.0000
1857.0000 62 0 0.0000
1890.0000 63 0 0.0000
1917.0000 64 0 0.0000
1946.0000 65 0 0.0000
1975.0000 66 0 0.0000
2000.0000 67 0 0.0000
2027.0000 68 0 0.0000
2061.0000 69 0 0.0000
2093.0000 70 0 0.0000
2126.0000 71 0 0.0000
2154.0000 72 0 0.0000
2184.0000 73 0 0.0000
2216.0000 74 0 0.0000
2241.0000 75 0 0.0000
2272.0000 76 0 0.0000
2300.0000 77 0 0.0000
2334.0000 78 0 0.0000
2364.0000 79 0 0.0000
2389.0000 80 0 0.0000
2422.0000 81 0 0.0000
2452.0000 82 0 0.0000
